"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","1.80024234031504","11.3003063047732","12.1002063451122","14.7999912516677","16.2994170698331","17.6002094743503","18.9002071637882","15.7270434965329","14.6995368050798","14.6470009449678","15.0205308345377","14.7971787957078","14.7971787957078","","","",
"Africa Eastern and Southern","AFE","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2228630115342","14.1529025871941","12.8959264913047","12.2523452068799","11.9959265868192","12.0800060435581","11.503828893824","11.2326836340206","13.5778336156446","13.953143772527","16.8361093422779","18.3949700835716","18.2980967023747","17.637262710674","18.0072008934937","18.5870333284696","19.1728613057453","19.3106726711253","19.2182365879678","20.7976776654018","21.7529744035104","22.0816661473234","22.5079258306407","23.5815546895237","25.0512804702734","25.7522077712168","24.8785422708914","27.0884113424561","28.8058884816093","30.3388667514472","32.4330522412191","33.1257986311152","","","",
"Afghanistan","AFG","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.5373177008865","93.5373177008865","93.5374497028126","80.6308604401597","62.8649359905699","63.0139791405013","70.8955945385599","69.0305842438757","66.7316820185576","79.6498420379743","81.7528647900511","74.400758657525","79.7979587151176","81.0086357683819","85.4614747024191","87.5782394741968","87.7612654613868","86.8645836678334","82.6719956888809","87.8403578186823","87.123785906179","78.2344746063241","","","",
"Africa Western and Central","AFW","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.2877200802318","62.1188316789259","60.8039511592811","58.9556351612014","56.0096153846154","56.4137931034483","55.7558903523516","55.4867804403572","49.5154635878082","51.1042944785276","55.0480365637534","52.6162245593377","42.7197718107246","46.7940635254446","45.0537035454658","54.3349960164329","47.2512190572928","39.4430196961821","43.7706700642584","45.5903730531327","38.7320418721783","35.3896907610577","34.090329002055","32.9551487811454","29.781359137689","25.3312623551456","25.0667860244375","30.1085884823845","30.2621253280942","31.7674531439812","29.852592455133","30.4191556277748","","","",
"Angola","AGO","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.2068965517241","82.6552462526767","88.70116156283","93.6842105263158","93.717277486911","93.75","89.9805447470817","76.3525305410122","80.4248861911988","66.9662921348315","62.3038062283737","61.6855921855922","64.0453257790368","61.6902255639098","77.1440035666518","83.4395145999242","85.158229969829","88.8953703703704","78.5517156257714","67.8795278795279","67.6379152138007","71.5687732342007","49.8033722438392","44.6892655367232","53.4302704978423","52.3096953478798","59.0540887422076","84.2238569699227","88.1276384215356","85.1461543592822","84.8757500454573","91.7136027244744","","","",
"Albania","ALB","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4077669902913","92.1424829753798","95.0500883912787","93.9076225559649","95.686374016747","93.9861390565616","95.7204948177867","96.1744452945677","96.3202192209826","97.3291582243507","96.1490163248221","95.3120643431635","93.9612092027822","97.8619791666667","97.5074919728862","98.7189050156164","98.3213251267198","97.491958041958","","99.9886582083814","99.9939217758985","98.6105941302792","","","","","","","","","","","","","",
"Andorra","AND","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.0971107544141","96.0408086858854","96.3914590747331","96.6070777088654","97.3833824234537","93.3403907227408","","","",
"Arab World","ARB","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2722386670838","6.71869411637056","5.79038628956248","5.40541433361413","5.33737443172054","5.09760642195524","5.31546847018155","5.17817804152714","4.80490212328039","4.8462598166926","4.55031105711622","4.70070551477587","3.88016650086351","3.96808775862664","4.04359471678199","4.44094321303854","4.10918666676824","3.71451187400244","3.62635809510349","3.68025850310142","3.81417366923974","3.73049484072348","3.55588187406179","3.70757131281774","3.25394596248634","3.00198786154679","3.14021613612841","3.0915365425482","3.32532228900581","4.08875827265167","4.75038334420598","4.81308788145556","","","",
"United Arab Emirates","ARE","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0074797544866858","0.0196063821860797","0.0225949948051686","0.0223400048954077","0.0783671985090231","0.263563430434596","0.240204736895818","0.248154120342867","0.557695737471018","0.885151528519123","2.64586794169905","3.78319860170417","4.20134583903604","","","",
"Argentina","ARG","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.2511075391069","30.3003861577306","34.7238804640305","38.7427278603749","41.8700673431453","40.1140203331299","33.3586539012785","39.2907899275612","36.3061617890891","27.1957305068166","33.0317886599097","41.617243827229","43.2402458483541","37.8812394109214","31.5189022626871","33.7205702994261","34.7396865413772","29.2267911400766","27.4501463990749","30.4953983718573","28.633480141253","26.3898274983398","24.2839965308912","26.3673843991769","25.6716891813878","24.4205243146988","22.7375832088032","24.5224932026036","25.0378814713896","26.5099136541149","27.2624493230322","25.5361113468556","","","",
