"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Africa Eastern and Southern","AFE","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5002172539106","15.4397065388273","14.0037598598151","13.4057799528592","13.2684094881169","13.1718459070447","12.920373228274","12.7649806701031","14.9566096959869","15.4693632358831","16.3696777369874","17.6072195972691","18.1436952397568","17.2842341984988","17.4302633949428","17.9062677810351","18.5708722225428","18.3913583283482","18.5811516406508","19.8115113587155","21.0534911246831","21.0394075820363","21.8233260937111","22.4891275345553","23.4776494476704","23.184280988615","22.4021104688171","23.3000036907907","24.8599710396703","25.1650704220195","27.8472601762467","28.1864801732102","29.2036292150256","","",
"Afghanistan","AFG","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.5373177008865","93.5373177008865","93.5374497028126","80.6308604401597","62.8649359905699","63.0139791405013","70.8955945385599","69.0305842438757","66.7316820185576","79.6498420379743","81.7345464167226","74.3778681287538","76.824737534178","78.2832861708655","82.6894648243568","84.7459493338528","84.5712069577272","83.6959314087537","79.19795221843","84.0158265955617","81.6912585244885","71.6561827162579","","","",
"Africa Western and Central","AFW","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.1540004457321","61.9902877954724","60.7044862121004","58.9521906861394","56.0930822649573","56.5613472333601","55.8384011245913","55.5280455094762","49.6082131320562","51.3234005258545","52.3234772875665","50.8853572278298","45.8588669405682","44.8772865715477","44.9709354348278","43.2564242510934","38.8626386336986","35.9273378386184","39.9790965545905","39.5688511887289","36.924733575259","35.9141419793105","34.0663291205589","31.5321897886231","29.0738974555327","25.4252597332717","25.4320889150525","29.8507172296401","29.8349168461463","31.0571854599312","28.6533447945298","29.1505263682901","28.9741522409296","","",
"Angola","AGO","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.2068965517241","82.6552462526767","88.70116156283","93.6842105263158","93.717277486911","93.75","89.9805447470817","76.3525305410122","80.4248861911988","66.9662921348315","63.1141868512111","62.0879120879121","64.7592067988669","62.2055137844612","78.1988408381632","84.262419416003","85.2832718739524","76.7901234567901","77.6845223401629","66.5242165242165","67.9574233804368","70.9329084793769","70.9338521400778","57.9710144927536","52.5313124934217","54.3330588719638","58.3241657499083","71.2636185864606","79.3361884368308","71.709692482156","75.1560700648524","72.70286200799","70.4244115967773","","",
"Albania","ALB","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4077669902913","92.1424829753798","95.0500883912787","93.9076225559649","95.686374016747","93.9861390565616","95.7204948177867","96.1744452945677","96.3202192209826","97.3291582243507","96.1490163248221","95.3083109919571","93.9539860888176","97.8565705128205","97.5026757046022","98.713944515892","98.3164373642288","97.4825174825175","100","99.9807766243752","99.9867864693446","98.5922214268671","100","100","100","100","100","99.9558108705259","99.9883081959546","99.5582020745294","99.3788819875776","99.5425128319572","97.7006569551557","","",
"Andorra","AND","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","98.936170212766","98.8235294117647","94.5945945945946","75","80.0508259212198","76.5432098765432","88.7311446317657","86.5131578947368","86.7061233781015","88.7513079874433","89.3000551137706","85.9105495387084","84.6308186195827","79.6518157993261","81.3950177935943","83.0718715797154","83.1563805740119","75.8637282263497","","","",
"Arab World","ARB","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.27183757289887","6.71829225656338","5.79002654886358","5.40508398989148","5.33706197565967","5.07936223093557","5.31546847018155","5.13320859665888","4.80465474120124","4.83993402432853","4.41030196011195","4.52323570304189","3.67174580772437","3.81969707666717","3.77843674352986","4.4177541858237","4.08064467565427","4.03492305157798","3.28336178913551","3.19264608139087","3.54674163818373","3.25085526529254","3.17324388661139","3.35898021605231","2.81148262601572","2.43228876519284","2.33322009382018","2.1962996210232","2.20032378924454","2.59843622975862","2.55127944301201","2.33250139010774","2.25054563588438","","",
"United Arab Emirates","ARE","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Argentina","ARG","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.4485827419924","38.194341304025","43.680168219969","48.8025210084034","52.6952494134138","50.2284872210893","41.1798429169294","48.6140048292515","44.8229378698624","33.551678450699","40.5105962199699","51.3687689952747","53.0346906211217","45.9479125939441","38.056821468104","40.5005247284176","42.0515849229576","34.85138050993","32.3455838329492","35.953182724687","33.6309169543308","30.7970287090946","27.3052668714813","29.8801867108348","29.8955086017781","28.2233390857151","25.675859258253","27.6166543077641","27.7302452316076","25.0066282110996","21.0892679568576","16.4741903263502","20.2403103436438","","",
